pdf_name,figure_name,fig_type,page,caption,image_path,x1,y1,x2,y2
14573_9789819822904,12,Figure,408,Fig. 12. Conveyor belt for sorting dry waste. Source: Authors’ own creation.,pdffigures2_out_newtests/figures/14573_9789819822904-Figure12-1.png,93.6,72.0,338.4,397.44
14573_9789819822904,12,Figure,472,Fig. 12. Comprehensive blueprint of smart village with smart integrated transport infrastructure.,pdffigures2_out_newtests/figures/14573_9789819822904-Figure12-1.png,58.32,354.96,374.4,563.04
14573_9789819822904,11,Figure,472,Fig. 11. Comprehensive ITNDP blueprint.,pdffigures2_out_newtests/figures/14573_9789819822904-Figure11-1.png,58.32,75.6,373.68,316.08
14573_9789819822904,15,Figure,411,Fig. 15. Mean values of recyclables from trials using belt conveyor.,pdffigures2_out_newtests/figures/14573_9789819822904-Figure15-1.png,62.64,73.44,369.36,208.79999999999998
14573_9789819822904,3,Table,411,"Table 3. Type of recyclables, mean values, and the equivalent percentage.",pdffigures2_out_newtests/figures/14573_9789819822904-Table3-1.png,79.92,272.88,352.08,441.35999999999996
14573_9789819822904,11,Figure,407,Fig. 11. Pre-sorting of dry waste. Source: Authors’ own creation.,pdffigures2_out_newtests/figures/14573_9789819822904-Figure11-1.png,59.76,72.0,372.24,265.68
14573_9789819822904,9,Figure,471,Fig. 9. Proposal distribution in terms of different categories.,pdffigures2_out_newtests/figures/14573_9789819822904-Figure9-1.png,54.0,74.88,379.44,290.15999999999997
14573_9789819822904,10,Figure,471,"Fig. 10. Map of proposal for BT renewal, widening, and maintenance of phase 2 in ITNDP.",pdffigures2_out_newtests/figures/14573_9789819822904-Figure10-1.png,54.0,327.59999999999997,378.0,549.36
14573_9789819822904,4,Table,412,Table 4. Revenue generated from recyclables per household per month.,pdffigures2_out_newtests/figures/14573_9789819822904-Table4-1.png,60.48,92.88,371.52,308.15999999999997
14573_9789819822904,3,Table,335,Table 3. Basic principles of rainfall-resistant vernacular constructions.,pdffigures2_out_newtests/figures/14573_9789819822904-Table3-1.png,57.599999999999994,428.4,375.12,574.56
14573_9789819822904,9,Figure,406,Fig. 9. Rotary drum composter.,pdffigures2_out_newtests/figures/14573_9789819822904-Figure9-1.png,76.32,72.0,355.68,280.08
14573_9789819822904,10,Figure,406,Fig. 10. Rotary sieve.,pdffigures2_out_newtests/figures/14573_9789819822904-Figure10-1.png,59.76,315.36,372.24,550.0799999999999
14573_9789819822904,13,Figure,409,Fig. 13. Segregated dry waste for recycling.,pdffigures2_out_newtests/figures/14573_9789819822904-Figure13-1.png,54.0,70.56,379.44,255.6
14573_9789819822904,4,Table,336,Table 4. Basic principles of flood-resistant vernacular constructions.,pdffigures2_out_newtests/figures/14573_9789819822904-Table4-1.png,57.599999999999994,86.39999999999999,375.12,231.12
14573_9789819822904,5,Table,336,Table 5. Basic principles of cyclone-resistant vernacular constructions.,pdffigures2_out_newtests/figures/14573_9789819822904-Table5-1.png,57.599999999999994,275.76,375.12,445.68
14573_9789819822904,14,Figure,410,Fig. 14. Percentage of different types of waste using the segregation bin system.,pdffigures2_out_newtests/figures/14573_9789819822904-Figure14-1.png,83.52,104.39999999999999,349.2,248.39999999999998
14633_9789819824854,13.1,Figure,120,"Figure 13.1. SP-Patterns for processing by the SPCM to model the recognition of a palindrome. Reproduced from [92, Figure 4.5].",pdffigures2_out_newtests/figures/14633_9789819824854-Figure13.1-1.png,156.23999999999998,213.84,275.03999999999996,359.28
14633_9789819824854,13.2,Figure,120,"Figure 13.2. The best SP-Multiple-Alignment (in terms of compression) produced by the SPCM with the SP-Patterns from Figure 13.1. Reproduced from [92, Figure 4.6].",pdffigures2_out_newtests/figures/14633_9789819824854-Figure13.2-1.png,55.44,418.32,377.28,538.56
14633_9789819824854,13.16,Figure,142,Figure 13.16. (Continued),pdffigures2_out_newtests/figures/14633_9789819824854-Figure13.16-1.png,72.72,83.52,358.56,480.24
14633_9789819824854,13.1,Table,153,"Table 13.1. The probabilities of unmatched SP-Symbols, calculated by the SPCM for the three SP-MultipleAlignments shown in Figure 13.23.",pdffigures2_out_newtests/figures/14633_9789819824854-Table13.1-1.png,134.64,130.32,297.36,196.56
14633_9789819824854,3.5,Figure,42,"Figure 3.5. Waveform for the spoken phrase ‘On our website’ with an alphabetic transcription above the waveform and a phonetic transcription below it. With thanks to Sidney Wood of SWPhonetics (swphonetics.com) for permission to reproduce this figure in [105, Figure 13]. Since there has been no response to a request to reproduce the figure in this book, it is assumed that the earlier permission holds.",pdffigures2_out_newtests/figures/14633_9789819824854-Figure3.5-1.png,72.0,83.52,361.44,208.07999999999998
14633_9789819824854,13.5,Figure,125,"Figure 13.5. A fragment of French SP-Grammar with SP-Patterns in the last 8 SP-Patterns for number dependencies (shown as ‘SNG’ and ‘PL’) and gender dependencies (shown as ‘M’ and ‘F’). Reproduced from [92, Figure 5.7].",pdffigures2_out_newtests/figures/14633_9789819824854-Figure13.5-1.png,76.32,56.879999999999995,378.71999999999997,423.35999999999996
14633_9789819824854,19.1,Figure,196,Figure 19.1. SP-Patterns corresponding to a PCS for the creation or recognition of unary numbers.,pdffigures2_out_newtests/figures/14633_9789819824854-Figure19.1-1.png,54.0,56.879999999999995,316.8,188.64
14633_9789819824854,13.2,Table,157,Table 13.2. Values for absolute and relative probability for the best SP-Multiple-Alignment in Figure 13.24 and the two SP-Multiple-Alignments in Figure 13.25.,pdffigures2_out_newtests/figures/14633_9789819824854-Table13.2-1.png,112.32,130.32,320.4,207.35999999999999
14633_9789819824854,8.3,Figure,93,"Figure 8.3. The organisation of the COMPRESS() function of the SPCM. Reproduced from [92, Figure 3.7].",pdffigures2_out_newtests/figures/14633_9789819824854-Figure8.3-1.png,54.0,56.879999999999995,378.71999999999997,479.52
